,index,date,state,fips,cases,deaths,daily_new_deaths,daily_new_cases
0,6614,2020-07-01,Alabama,1,38962,972,0.0,0.0
1,6669,2020-07-02,Alabama,1,40111,985,13.0,1149.0
2,6724,2020-07-03,Alabama,1,41865,1006,21.0,1754.0
3,6779,2020-07-04,Alabama,1,42862,1007,1.0,997.0
4,6834,2020-07-05,Alabama,1,43953,1007,0.0,1091.0
5,6889,2020-07-06,Alabama,1,44878,1007,0.0,925.0
6,6944,2020-07-07,Alabama,1,45785,1033,26.0,907.0
7,6999,2020-07-08,Alabama,1,46962,1058,25.0,1177.0
8,7054,2020-07-09,Alabama,1,49174,1068,10.0,2212.0
9,7109,2020-07-10,Alabama,1,50508,1104,36.0,1334.0
10,7164,2020-07-11,Alabama,1,51947,1114,10.0,1439.0
11,7219,2020-07-12,Alabama,1,53587,1121,7.0,1640.0
12,7274,2020-07-13,Alabama,1,55545,1124,3.0,1958.0
13,7329,2020-07-14,Alabama,1,57255,1164,40.0,1710.0
14,7384,2020-07-15,Alabama,1,59067,1211,47.0,1812.0
15,7439,2020-07-16,Alabama,1,61088,1230,19.0,2021.0
16,7494,2020-07-17,Alabama,1,63091,1265,35.0,2003.0
17,7549,2020-07-18,Alabama,1,65234,1286,21.0,2143.0
18,7604,2020-07-19,Alabama,1,67011,1287,1.0,1777.0
19,7659,2020-07-20,Alabama,1,68891,1291,4.0,1880.0
20,7714,2020-07-21,Alabama,1,70358,1303,12.0,1467.0
21,7769,2020-07-22,Alabama,1,71813,1364,61.0,1455.0
22,7824,2020-07-23,Alabama,1,74212,1397,33.0,2399.0
23,7879,2020-07-24,Alabama,1,76005,1438,41.0,1793.0
24,7934,2020-07-25,Alabama,1,78130,1456,18.0,2125.0
25,7989,2020-07-26,Alabama,1,79294,1473,17.0,1164.0
26,8044,2020-07-27,Alabama,1,81115,1491,18.0,1821.0
27,8099,2020-07-28,Alabama,1,82366,1491,0.0,1251.0
28,8154,2020-07-29,Alabama,1,83782,1538,47.0,1416.0
29,8209,2020-07-30,Alabama,1,85762,1565,27.0,1980.0
30,8264,2020-07-31,Alabama,1,87723,1580,15.0,1961.0
31,8319,2020-08-01,Alabama,1,89349,1603,23.0,1626.0
32,8374,2020-08-02,Alabama,1,91444,1627,24.0,2095.0
33,8429,2020-08-03,Alabama,1,92661,1633,6.0,1217.0
34,8484,2020-08-04,Alabama,1,93702,1666,33.0,1041.0
35,8539,2020-08-05,Alabama,1,94654,1695,29.0,952.0
36,8594,2020-08-06,Alabama,1,96592,1714,19.0,1938.0
37,8649,2020-08-07,Alabama,1,98301,1735,21.0,1709.0
38,8704,2020-08-08,Alabama,1,100173,1755,20.0,1872.0
39,8759,2020-08-09,Alabama,1,101334,1768,13.0,1161.0
40,8814,2020-08-10,Alabama,1,103020,1797,29.0,1686.0
41,8869,2020-08-11,Alabama,1,103851,1847,50.0,831.0
42,8924,2020-08-12,Alabama,1,104786,1882,35.0,935.0
43,8979,2020-08-13,Alabama,1,105557,1890,8.0,771.0
44,9034,2020-08-14,Alabama,1,106309,1893,3.0,752.0
45,9089,2020-08-15,Alabama,1,107580,1896,3.0,1271.0
46,9144,2020-08-16,Alabama,1,108433,1898,2.0,853.0
47,9199,2020-08-17,Alabama,1,109004,1925,27.0,571.0
48,9254,2020-08-18,Alabama,1,110361,1936,11.0,1357.0
49,9309,2020-08-19,Alabama,1,111478,1944,8.0,1117.0
50,9364,2020-08-20,Alabama,1,112449,1974,30.0,971.0
51,9419,2020-08-21,Alabama,1,113632,1996,22.0,1183.0
52,9474,2020-08-22,Alabama,1,114532,2011,15.0,900.0
53,9529,2020-08-23,Alabama,1,115060,2013,2.0,528.0
54,9584,2020-08-24,Alabama,1,116710,2024,11.0,1650.0
55,9639,2020-08-25,Alabama,1,117242,2037,13.0,532.0
56,9694,2020-08-26,Alabama,1,119254,2045,8.0,2012.0
57,9749,2020-08-27,Alabama,1,121023,2076,31.0,1769.0
58,9804,2020-08-28,Alabama,1,122185,2107,31.0,1162.0
59,9859,2020-08-29,Alabama,1,123889,2152,45.0,1704.0
60,9914,2020-08-30,Alabama,1,125235,2162,10.0,1346.0
61,9969,2020-08-31,Alabama,1,126058,2182,20.0,823.0
62,10024,2020-09-01,Alabama,1,127616,2200,18.0,1558.0
63,6615,2020-07-01,Alaska,2,1174,12,0.0,0.0
64,6670,2020-07-02,Alaska,2,1224,12,0.0,50.0
