,date,state,fips,cases,deaths
6614,2020-07-01,Alabama,1,38962,972
6615,2020-07-01,Alaska,2,1174,12
6616,2020-07-01,Arizona,4,84152,1726
6617,2020-07-01,Arkansas,5,21197,277
6618,2020-07-01,California,6,239764,6168
6619,2020-07-01,Colorado,8,33012,1697
6620,2020-07-01,Connecticut,9,46572,4324
6621,2020-07-01,Delaware,10,11510,509
6622,2020-07-01,District of Columbia,11,10365,553
6623,2020-07-01,Florida,12,158989,3549
6624,2020-07-01,Georgia,13,79589,2779
6625,2020-07-01,Guam,66,1240,6
6626,2020-07-01,Hawaii,15,909,18
6627,2020-07-01,Idaho,16,6379,92
6628,2020-07-01,Illinois,17,145541,7160
6629,2020-07-01,Indiana,18,47116,2650
6630,2020-07-01,Iowa,19,29618,717
6631,2020-07-01,Kansas,20,15142,280
6632,2020-07-01,Kentucky,21,16114,597
6633,2020-07-01,Louisiana,22,60286,3238
6634,2020-07-01,Maine,23,3294,105
6635,2020-07-01,Maryland,24,68502,3205
6636,2020-07-01,Massachusetts,25,109143,8081
6637,2020-07-01,Michigan,26,71279,6202
6638,2020-07-01,Minnesota,27,36753,1482
6639,2020-07-01,Mississippi,28,27900,1082
6640,2020-07-01,Missouri,29,22595,1049
6641,2020-07-01,Montana,30,1016,22
6642,2020-07-01,Nebraska,31,19325,282
6643,2020-07-01,Nevada,32,19151,512
6644,2020-07-01,New Hampshire,33,5802,373
6645,2020-07-01,New Jersey,34,173782,15078
6646,2020-07-01,New Mexico,35,12276,500
6647,2020-07-01,New York,36,398770,31791
6648,2020-07-01,North Carolina,37,66815,1389
6649,2020-07-01,North Dakota,38,3624,89
6650,2020-07-01,Northern Mariana Islands,69,30,2
6651,2020-07-01,Ohio,39,52865,2876
6652,2020-07-01,Oklahoma,40,14112,389
6653,2020-07-01,Oregon,41,9019,211
6654,2020-07-01,Pennsylvania,42,91864,6704
6655,2020-07-01,Puerto Rico,72,7537,153
6656,2020-07-01,Rhode Island,44,16853,956
6657,2020-07-01,South Carolina,45,37919,766
6658,2020-07-01,South Dakota,46,6826,93
6659,2020-07-01,Tennessee,47,44360,602
6660,2020-07-01,Texas,48,174826,2518
6661,2020-07-01,Utah,49,22864,173
6662,2020-07-01,Vermont,50,1210,56
6663,2020-07-01,Virgin Islands,78,92,6
6664,2020-07-01,Virginia,51,63125,1785
6665,2020-07-01,Washington,53,35258,1340
6666,2020-07-01,West Virginia,54,2979,93
6667,2020-07-01,Wisconsin,55,32307,794
6668,2020-07-01,Wyoming,56,1514,20
6669,2020-07-02,Alabama,1,40111,985
6670,2020-07-02,Alaska,2,1224,12
6671,2020-07-02,Arizona,4,87495,1766
6672,2020-07-02,Arkansas,5,22075,279
6673,2020-07-02,California,6,248198,6263
6674,2020-07-02,Colorado,8,33335,1701
6675,2020-07-02,Connecticut,9,46646,4326
6676,2020-07-02,Delaware,10,11731,510
6677,2020-07-02,District of Columbia,11,10390,554
6678,2020-07-02,Florida,12,169098,3616
6679,2020-07-02,Georgia,13,82475,2801
6680,2020-07-02,Guam,66,1249,6
6681,2020-07-02,Hawaii,15,929,18
6682,2020-07-02,Idaho,16,6688,93
6683,2020-07-02,Illinois,17,146407,7197
6684,2020-07-02,Indiana,18,47553,2662
6685,2020-07-02,Iowa,19,30259,719
6686,2020-07-02,Kansas,20,15226,282
6687,2020-07-02,Kentucky,21,16370,605
6688,2020-07-02,Louisiana,22,61669,3255
6689,2020-07-02,Maine,23,3328,105
6690,2020-07-02,Maryland,24,69015,3212
6691,2020-07-02,Massachusetts,25,109338,8132
6692,2020-07-02,Michigan,26,71853,6216
6693,2020-07-02,Minnesota,27,37247,1495
6694,2020-07-02,Mississippi,28,28770,1092
6695,2020-07-02,Missouri,29,23085,1056
6696,2020-07-02,Montana,30,1083,22
6697,2020-07-02,Nebraska,31,19476,284
6698,2020-07-02,Nevada,32,19871,525
6699,2020-07-02,New Hampshire,33,5822,375
6700,2020-07-02,New Jersey,34,174212,15107
6701,2020-07-02,New Mexico,35,12520,503
6702,2020-07-02,New York,36,399642,31814
6703,2020-07-02,North Carolina,37,68512,1402
6704,2020-07-02,North Dakota,38,3666,89
6705,2020-07-02,Northern Mariana Islands,69,30,2
6706,2020-07-02,Ohio,39,54166,2903
6707,2020-07-02,Oklahoma,40,14539,395
6708,2020-07-02,Oregon,41,9344,212
6709,2020-07-02,Pennsylvania,42,92703,6758
6710,2020-07-02,Puerto Rico,72,7608,153
6711,2020-07-02,Rhode Island,44,16941,959
6712,2020-07-02,South Carolina,45,39701,784
6713,2020-07-02,South Dakota,46,6893,97
6714,2020-07-02,Tennessee,47,46176,612
6715,2020-07-02,Texas,48,182260,2562
6716,2020-07-02,Utah,49,23466,176
6717,2020-07-02,Vermont,50,1227,56
6718,2020-07-02,Virgin Islands,78,98,6
6719,2020-07-02,Virginia,51,63655,1815
6720,2020-07-02,Washington,53,35921,1343
6721,2020-07-02,West Virginia,54,3053,93
6722,2020-07-02,Wisconsin,55,32876,801
6723,2020-07-02,Wyoming,56,1550,20
6724,2020-07-03,Alabama,1,41865,1006
6725,2020-07-03,Alaska,2,1284,13
6726,2020-07-03,Arizona,4,91894,1802
6727,2020-07-03,Arkansas,5,22622,281
6728,2020-07-03,California,6,256298,6315
6729,2020-07-03,Colorado,8,33607,1701
6730,2020-07-03,Connecticut,9,46717,4335
6731,2020-07-03,Delaware,10,11923,512
6732,2020-07-03,District of Columbia,11,10435,555
6733,2020-07-03,Florida,12,178586,3683
6734,2020-07-03,Georgia,13,85079,2808
6735,2020-07-03,Guam,66,1255,6
6736,2020-07-03,Hawaii,15,957,19
6737,2020-07-03,Idaho,16,7034,94
6738,2020-07-03,Illinois,17,147293,7222
6739,2020-07-03,Indiana,18,48099,2682
6740,2020-07-03,Iowa,19,30631,721
6741,2020-07-03,Kansas,20,16015,283
6742,2020-07-03,Kentucky,21,16655,608
6743,2020-07-03,Louisiana,22,63397,3278
6744,2020-07-03,Maine,23,3373,105
6745,2020-07-03,Maryland,24,69422,3223
6746,2020-07-03,Massachusetts,25,109628,8149
6747,2020-07-03,Michigan,26,72306,6219
6748,2020-07-03,Minnesota,27,37661,1503
6749,2020-07-03,Mississippi,28,29684,1103
6750,2020-07-03,Missouri,29,23620,1060
6751,2020-07-03,Montana,30,1128,23
6752,2020-07-03,Nebraska,31,19660,285
6753,2020-07-03,Nevada,32,20878,530
6754,2020-07-03,New Hampshire,33,5857,376
6755,2020-07-03,New Jersey,34,174598,15164
6756,2020-07-03,New Mexico,35,12776,511
6757,2020-07-03,New York,36,400561,31836
6758,2020-07-03,North Carolina,37,70451,1413
6759,2020-07-03,North Dakota,38,3731,89
6760,2020-07-03,Northern Mariana Islands,69,31,2
6761,2020-07-03,Ohio,39,55257,2903
6762,2020-07-03,Oklahoma,40,15065,398
6763,2020-07-03,Oregon,41,9643,215
6764,2020-07-03,Pennsylvania,42,93418,6790
6765,2020-07-03,Puerto Rico,72,7683,154
6766,2020-07-03,Rhode Island,44,16991,960
6767,2020-07-03,South Carolina,45,41532,793
6768,2020-07-03,South Dakota,46,6978,97
6769,2020-07-03,Tennessee,47,47882,626
6770,2020-07-03,Texas,48,190049,2609
6771,2020-07-03,Utah,49,24070,181
6772,2020-07-03,Vermont,50,1236,56
6773,2020-07-03,Virgin Islands,78,111,6
6774,2020-07-03,Virginia,51,64312,1844
6775,2020-07-03,Washington,53,36417,1353
6776,2020-07-03,West Virginia,54,3126,93
6777,2020-07-03,Wisconsin,55,33565,804
6778,2020-07-03,Wyoming,56,1582,20
6779,2020-07-04,Alabama,1,42862,1007
6780,2020-07-04,Alaska,2,1339,14
6781,2020-07-04,Arizona,4,94616,1821
6782,2020-07-04,Arkansas,5,23209,286
6783,2020-07-04,California,6,265176,6329
6784,2020-07-04,Colorado,8,33900,1703
6785,2020-07-04,Connecticut,9,46717,4335
6786,2020-07-04,Delaware,10,11996,512
6787,2020-07-04,District of Columbia,11,10447,557
6788,2020-07-04,Florida,12,190044,3701
6789,2020-07-04,Georgia,13,87592,2809
6790,2020-07-04,Guam,66,1257,6
6791,2020-07-04,Hawaii,15,981,19
6792,2020-07-04,Idaho,16,7431,94
6793,2020-07-04,Illinois,17,148151,7234
6794,2020-07-04,Indiana,18,48628,2687
6795,2020-07-04,Iowa,19,31167,721
6796,2020-07-04,Kansas,20,16165,284
6797,2020-07-04,Kentucky,21,16709,608
6798,2020-07-04,Louisiana,22,63397,3278
6799,2020-07-04,Maine,23,3397,107
6800,2020-07-04,Maryland,24,69724,3236
6801,2020-07-04,Massachusetts,25,109838,8172
6802,2020-07-04,Michigan,26,72702,6222
6803,2020-07-04,Minnesota,27,37661,1503
6804,2020-07-04,Mississippi,28,30674,1107
6805,2020-07-04,Missouri,29,24061,1062
6806,2020-07-04,Montana,30,1167,23
6807,2020-07-04,Nebraska,31,19826,285
6808,2020-07-04,Nevada,32,21671,530
6809,2020-07-04,New Hampshire,33,5871,380
6810,2020-07-04,New Jersey,34,174889,15189
6811,2020-07-04,New Mexico,35,13063,513
6812,2020-07-04,New York,36,401286,31860
6813,2020-07-04,North Carolina,37,71735,1414
6814,2020-07-04,North Dakota,38,3788,89
6815,2020-07-04,Northern Mariana Islands,69,31,2
6816,2020-07-04,Ohio,39,56183,2907
6817,2020-07-04,Oklahoma,40,15645,398
6818,2020-07-04,Oregon,41,9937,216
6819,2020-07-04,Pennsylvania,42,93922,6793
6820,2020-07-04,Puerto Rico,72,7787,155
6821,2020-07-04,Rhode Island,44,16991,960
6822,2020-07-04,South Carolina,45,43386,813
6823,2020-07-04,South Dakota,46,7028,97
6824,2020-07-04,Tennessee,47,49232,630
6825,2020-07-04,Texas,48,195707,2646
6826,2020-07-04,Utah,49,24717,181
6827,2020-07-04,Vermont,50,1238,56
6828,2020-07-04,Virgin Islands,78,112,6
6829,2020-07-04,Virginia,51,65027,1848
6830,2020-07-04,Washington,53,36799,1355
6831,2020-07-04,West Virginia,54,3205,94
6832,2020-07-04,Wisconsin,55,34243,804
6833,2020-07-04,Wyoming,56,1606,20
6834,2020-07-05,Alabama,1,43953,1007
6835,2020-07-05,Alaska,2,1371,14
6836,2020-07-05,Arizona,4,98126,1829
6837,2020-07-05,Arkansas,5,23814,287
6838,2020-07-05,California,6,271587,6369
6839,2020-07-05,Colorado,8,34100,1703
6840,2020-07-05,Connecticut,9,46717,4335
6841,2020-07-05,Delaware,10,12128,512
6842,2020-07-05,District of Columbia,11,10482,559
6843,2020-07-05,Florida,12,200103,3730
6844,2020-07-05,Georgia,13,89489,2812
6845,2020-07-05,Guam,66,1257,6
6846,2020-07-05,Hawaii,15,1005,19
6847,2020-07-05,Idaho,16,7799,94
6848,2020-07-05,Illinois,17,148730,7241
6849,2020-07-05,Indiana,18,49203,2693
6850,2020-07-05,Iowa,19,31612,721
6851,2020-07-05,Kansas,20,16289,287
6852,2020-07-05,Kentucky,21,16712,608
6853,2020-07-05,Louisiana,22,65334,3288
6854,2020-07-05,Maine,23,3415,109
6855,2020-07-05,Maryland,24,69957,3243
6856,2020-07-05,Massachusetts,25,109974,8183
6857,2020-07-05,Michigan,26,73027,6222
6858,2020-07-05,Minnesota,27,38173,1508
6859,2020-07-05,Mississippi,28,30900,1111
6860,2020-07-05,Missouri,29,24334,1062
6861,2020-07-05,Montana,30,1212,23
6862,2020-07-05,Nebraska,31,19937,285
6863,2020-07-05,Nevada,32,22518,537
6864,2020-07-05,New Hampshire,33,5897,381
6865,2020-07-05,New Jersey,34,175258,15211
6866,2020-07-05,New Mexico,35,13256,513
6867,2020-07-05,New York,36,401822,31895
6868,2020-07-05,North Carolina,37,73096,1414
6869,2020-07-05,North Dakota,38,3825,89
6870,2020-07-05,Northern Mariana Islands,69,31,2
6871,2020-07-05,Ohio,39,57151,2911
6872,2020-07-05,Oklahoma,40,15928,398
6873,2020-07-05,Oregon,41,10237,218
6874,2020-07-05,Pennsylvania,42,94403,6797
6875,2020-07-05,Puerto Rico,72,7916,155
6876,2020-07-05,Rhode Island,44,16991,960
6877,2020-07-05,South Carolina,45,44847,820
6878,2020-07-05,South Dakota,46,7063,97
6879,2020-07-05,Tennessee,47,50365,639
6880,2020-07-05,Texas,48,200137,2666
6881,2020-07-05,Utah,49,25005,184
6882,2020-07-05,Vermont,50,1249,56
6883,2020-07-05,Virgin Islands,78,112,6
6884,2020-07-05,Virginia,51,65662,1852
6885,2020-07-05,Washington,53,37468,1360
6886,2020-07-05,West Virginia,54,3335,95
6887,2020-07-05,Wisconsin,55,34750,804
6888,2020-07-05,Wyoming,56,1634,20
6889,2020-07-06,Alabama,1,44878,1007
6890,2020-07-06,Alaska,2,1401,14
6891,2020-07-06,Arizona,4,101542,1832
6892,2020-07-06,Arkansas,5,24253,292
6893,2020-07-06,California,6,277869,6452
6894,2020-07-06,Colorado,8,34316,1704
