,date,state,fips,cases,deaths,daily_new_cases,daily_new_deaths,zeroed_cases,zeroed_deaths
0,2020-07-01,Alabama,1,38962,972,0.0,0.0,0,0
1,2020-07-02,Alabama,1,40111,985,1149.0,13.0,1149,13
2,2020-07-03,Alabama,1,41865,1006,1754.0,21.0,2903,34
3,2020-07-04,Alabama,1,42862,1007,997.0,1.0,3900,35
4,2020-07-05,Alabama,1,43953,1007,1091.0,0.0,4991,35
5,2020-07-06,Alabama,1,44878,1007,925.0,0.0,5916,35
6,2020-07-07,Alabama,1,45785,1033,907.0,26.0,6823,61
7,2020-07-08,Alabama,1,46962,1058,1177.0,25.0,8000,86
8,2020-07-09,Alabama,1,49174,1068,2212.0,10.0,10212,96
9,2020-07-10,Alabama,1,50508,1104,1334.0,36.0,11546,132
10,2020-07-11,Alabama,1,51947,1114,1439.0,10.0,12985,142
11,2020-07-12,Alabama,1,53587,1121,1640.0,7.0,14625,149
12,2020-07-13,Alabama,1,55545,1124,1958.0,3.0,16583,152
13,2020-07-14,Alabama,1,57255,1164,1710.0,40.0,18293,192
14,2020-07-15,Alabama,1,59067,1211,1812.0,47.0,20105,239
15,2020-07-16,Alabama,1,61088,1230,2021.0,19.0,22126,258
16,2020-07-17,Alabama,1,63091,1265,2003.0,35.0,24129,293
17,2020-07-18,Alabama,1,65234,1286,2143.0,21.0,26272,314
18,2020-07-19,Alabama,1,67011,1287,1777.0,1.0,28049,315
19,2020-07-20,Alabama,1,68891,1291,1880.0,4.0,29929,319
20,2020-07-21,Alabama,1,70358,1303,1467.0,12.0,31396,331
21,2020-07-22,Alabama,1,71813,1364,1455.0,61.0,32851,392
22,2020-07-23,Alabama,1,74212,1397,2399.0,33.0,35250,425
23,2020-07-24,Alabama,1,76005,1438,1793.0,41.0,37043,466
24,2020-07-25,Alabama,1,78130,1456,2125.0,18.0,39168,484
25,2020-07-26,Alabama,1,79294,1473,1164.0,17.0,40332,501
26,2020-07-27,Alabama,1,81115,1491,1821.0,18.0,42153,519
27,2020-07-28,Alabama,1,82366,1491,1251.0,0.0,43404,519
28,2020-07-29,Alabama,1,83782,1538,1416.0,47.0,44820,566
29,2020-07-30,Alabama,1,85762,1565,1980.0,27.0,46800,593
30,2020-07-31,Alabama,1,87723,1580,1961.0,15.0,48761,608
31,2020-08-01,Alabama,1,89349,1603,1626.0,23.0,50387,631
32,2020-08-02,Alabama,1,91444,1627,2095.0,24.0,52482,655
33,2020-08-03,Alabama,1,92661,1633,1217.0,6.0,53699,661
34,2020-08-04,Alabama,1,93702,1666,1041.0,33.0,54740,694
35,2020-08-05,Alabama,1,94654,1695,952.0,29.0,55692,723
36,2020-08-06,Alabama,1,96592,1714,1938.0,19.0,57630,742
37,2020-08-07,Alabama,1,98301,1735,1709.0,21.0,59339,763
38,2020-08-08,Alabama,1,100173,1755,1872.0,20.0,61211,783
