,STATE,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,mask_negative,mask_positive,votesDem,percD,votesRep,percR,electoralDem,electoralRep,Pop,blue,red
0,AK,0.05342857142857144,0.06464285714285714,0.09282142857142858,0.3263928571428571,0.4625714285714286,0.11807142857142856,0.7889642857142858,116454,36.55,163387,51.28,0,3,734002,0,1
1,AL,0.08156716417910449,0.08108955223880598,0.1466119402985074,0.21534328358208948,0.47531343283582095,0.1626567164179104,0.6906567164179105,729547,34.36,1318255,62.08,0,9,4908620,0,1
2,AR,0.09091999999999999,0.08725333333333331,0.13835999999999996,0.22062666666666678,0.4628666666666667,0.17817333333333327,0.6834933333333333,380494,33.65,684872,60.57,0,6,3039000,0,1
3,AZ,0.04966666666666667,0.053200000000000004,0.09466666666666668,0.14733333333333334,0.655,0.10286666666666668,0.8023333333333332,1161167,45.13,1252401,48.67,0,11,7378490,0,1
4,CA,0.032310344827586206,0.03072413793103448,0.06368965517241379,0.15860344827586204,0.7146379310344825,0.06303448275862068,0.873241379310345,8753788,61.73,4483810,31.62,55,0,39937500,1,0
5,CO,0.03915624999999999,0.07193749999999997,0.09726562499999998,0.24432812499999998,0.5474374999999999,0.11109375000000002,0.7917656249999998,1338870,48.16,1202484,43.25,9,0,5845530,1,0
6,CT,0.0175,0.023,0.053625000000000006,0.126375,0.7795000000000001,0.0405,0.905875,897572,54.57,673215,40.93,7,0,3563080,1,0
7,DC,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.025,0.907,282830,90.48,12723,4.07,3,0,720687,1,0
8,DE,0.019333333333333334,0.006666666666666668,0.06066666666666667,0.09566666666666668,0.8176666666666667,0.026000000000000006,0.9133333333333332,235603,53.09,185127,41.72,3,0,982895,1,0
9,FL,0.05525373134328358,0.05752238805970149,0.11034328358208957,0.1942985074626866,0.5825522388059703,0.11277611940298507,0.7768507462686568,4504975,47.82,4617886,49.02,0,29,21993000,0,1
10,GA,0.08333333333333331,0.07837735849056603,0.1261446540880503,0.19979245283018873,0.5123144654088054,0.16171069182389938,0.7121069182389936,1877963,45.64,2089104,50.77,0,16,10736100,0,1
