,state,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,deaths,cases,percent change deaths,percent change cases
0,AK,0.053428571428571436,0.06464285714285714,0.09282142857142857,0.3263928571428571,0.4625714285714286,0.11807142857142855,0.7889642857142858,116454,36.55,163387,51.28,0,3,734002,0,1,24,4935,1.2633744855967077,-0.9435347261434218
1,AL,0.08156716417910449,0.08108955223880597,0.1466119402985074,0.21534328358208948,0.475313432835821,0.1626567164179104,0.6906567164179105,729547,34.36,1318255,62.08,0,9,4908620,0,1,1228,88654,2.0,-0.969335604770017
2,AR,0.09092,0.08725333333333331,0.13835999999999996,0.2206266666666668,0.4628666666666667,0.17817333333333327,0.6834933333333333,380494,33.65,684872,60.57,0,6,3039000,0,1,537,40300,1.9246813441483197,-0.9400133092499287
3,AZ,0.04966666666666667,0.0532,0.09466666666666668,0.14733333333333334,0.655,0.10286666666666668,0.8023333333333332,1161167,45.13,1252401,48.67,0,11,7378490,0,1,3322,118223,1.9386281588447654,-0.9615983393876492
4,CA,0.032310344827586206,0.03072413793103448,0.06368965517241379,0.15860344827586206,0.7146379310344825,0.06303448275862067,0.873241379310345,8753788,61.73,4483810,31.62,55,0,39937500,1,0,6981,476864,1.1318093385214008,-0.9451585725963865
5,CO,0.03915624999999999,0.07193749999999997,0.09726562499999998,0.244328125,0.5474374999999999,0.11109375000000002,0.7917656249999998,1338870,48.16,1202484,43.25,9,0,5845530,1,0,256,25106,0.15085444902769593,-0.9408396946564885
6,CT,0.0175,0.023,0.053625000000000006,0.126375,0.7795000000000001,0.0405,0.905875,897572,54.57,673215,40.93,7,0,3563080,1,0,142,6434,0.03283996299722479,-0.9041054710985141
7,DC,0.012,0.013,0.069,0.16399999999999998,0.743,0.025,0.907,282830,90.48,12723,4.07,3,0,720687,1,0,54,3684,0.18860510805500982,-0.9474370112945265
8,DE,0.01933333333333333,0.006666666666666668,0.060666666666666674,0.09566666666666668,0.8176666666666667,0.02600000000000001,0.9133333333333332,235603,53.09,185127,41.72,3,0,982895,1,0,96,6025,0.09764918625678119,-0.9414375301495417
9,FL,0.05525373134328358,0.05752238805970149,0.11034328358208956,0.1942985074626866,0.5825522388059703,0.11277611940298507,0.7768507462686568,4504975,47.82,4617886,49.02,0,29,21993000,0,1,7824,472043,2.2045646661031277,-0.9284667492719623
10,GA,0.08333333333333331,0.07837735849056603,0.1261446540880503,0.19979245283018876,0.5123144654088054,0.16171069182389938,0.7121069182389936,1877963,45.64,2089104,50.77,0,16,10736100,0,1,2825,176955,1.016552716804606,-0.9295882596841272
11,HI,0.0162,0.0188,0.0334,0.1166,0.8150000000000001,0.035,0.9316,266891,62.22,128847,30.03,3,0,1412690,1,0,55,7719,1.3333333333333333,-0.9887096774193549
12,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,408,36228,3.0555555555555554,-0.9196919691969196
13,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,278,26324,3.0217391304347827,-0.9419971782411036
14,IL,0.07227450980392157,0.07131372549019607,0.12687254901960782,0.2194901960784316,0.510078431372549,0.1435882352941176,0.7295686274509809,3090729,55.83,2146015,38.76,20,0,12659700,1,0,1139,93574,0.15907821229050279,-0.9429782672923781
15,IN,0.08609782608695653,0.09643478260869567,0.13042391304347828,0.23692391304347835,0.4502173913043479,0.18253260869565224,0.6871413043478263,1033126,37.91,1557286,56.82,0,11,6745350,0,1,662,49872,0.249811320754717,-0.9297054079293658
16,KS,0.11688571428571427,0.11694285714285713,0.15111428571428573,0.2194666666666668,0.3955904761904764,0.2338285714285715,0.6150571428571429,427005,36.05,671018,56.65,0,6,2910360,0,1,174,28349,0.5690376569037657,-0.962016341414005
17,KY,0.08633333333333337,0.08312499999999998,0.13109166666666675,0.20799166666666666,0.4914000000000001,0.16945833333333332,0.6993916666666666,628854,32.68,1202971,62.52,0,8,4499690,0,1,386,35648,0.6214285714285714,-0.9700171707832519
18,LA,0.08232812499999997,0.07245312500000001,0.11440625,0.2071562500000001,0.52365625,0.15478125,0.7308125000000002,780154,38.45,1178638,58.09,0,8,4645180,0,1,1746,89297,0.6465661641541038,-0.9389971453394563
